Country,Date,Daytime,Precip,Pressure,Windspeed,Ozone,Temperature,Humidity
AFG,2019-12-31,36060.0,0.0156,1019.1,2.56,372.6,40.245000000000005,0.6
AFG,2020-01-01,36120.0,0.0235,1021.2,2.06,330.2,34.66,0.9
AFG,2020-01-02,36120.0,0.0016,1022.7,2.45,320.3,37.665,0.76
AFG,2020-01-03,36120.0,0.0003,1021.9,2.95,309.6,39.30500000000001,0.69
AFG,2020-01-04,36180.0,0.0145,1016.1,1.98,308.2,39.045,0.88
AFG,2020-01-05,36240.0,0.0196,1016.7,2.6,323.1,36.32,0.85
AFG,2020-01-06,36240.0,0.0004,1022.7,4.28,331.1,33.905,0.58
AFG,2020-01-07,36300.0,0.0,1025.3,5.06,319.7,35.67,0.41
AFG,2020-01-08,36360.0,0.0,1023.1,3.56,322.0,36.305,0.31
AFG,2020-01-09,36420.0,0.0001,1023.4,3.79,317.2,37.995000000000005,0.34
AFG,2020-01-10,36480.0,0.0142,1019.9,2.8,313.1,35.83,0.76
AFG,2020-01-11,36540.0,0.0454,1013.7,2.76,320.7,31.375,0.89
AFG,2020-01-12,36600.0,0.0019,1019.4,2.76,336.9,27.445,0.78
AFG,2020-01-13,36660.0,0.0,1022.7,2.96,351.8,29.285000000000004,0.6
AFG,2020-01-14,36720.0,0.0,1025.7,4.06,344.0,30.745,0.56
AFG,2020-01-15,36780.0,0.0001,1026.9,4.19,329.2,26.725,0.51
AFG,2020-01-16,36840.0,0.0001,1027.7,3.27,312.9,29.125,0.55
AFG,2020-01-17,36900.0,0.0001,1027.1,3.09,301.9,35.05,0.44
AFG,2020-01-18,37020.0,0.0021,1022.7,3.57,303.6,36.94,0.59
AFG,2020-01-19,37080.0,0.001,1019.7,2.86,314.5,35.765,0.74
AFG,2020-01-20,37140.0,0.002,1022.8,3.74,332.9,33.635000000000005,0.77
AFG,2020-01-21,37260.0,0.0003,1028.3,3.13,316.0,36.06,0.66
AFG,2020-01-22,37320.0,0.0051,1025.7,3.65,300.5,38.815,0.64
AFG,2020-01-23,37440.0,0.0364,1019.7,2.3,294.5,35.58,0.86
AFG,2020-01-24,37500.0,0.0001,1021.8,3.9,302.2,33.485,0.73
AFG,2020-01-25,37620.0,0.0001,1020.5,4.06,305.8,34.95,0.67
AFG,2020-01-26,37680.0,0.0001,1019.5,3.7,304.1,31.555,0.65
AFG,2020-01-27,37800.0,0.0,1021.6,5.27,315.0,31.060000000000002,0.5
AFG,2020-01-28,37860.0,0.0002,1025.1,3.86,308.9,32.21,0.4
AFG,2020-01-29,37980.0,0.0001,1024.2,3.91,316.8,34.71,0.42
AFG,2020-01-30,38040.0,0.0001,1022.0,3.33,345.2,33.935,0.52
AFG,2020-01-31,38160.0,0.0001,1024.2,4.01,323.8,35.480000000000004,0.57
AFG,2020-02-01,38220.0,0.0002,1022.4,3.97,327.9,39.995,0.52
AFG,2020-02-02,38280.0,0.0203,1020.0,2.26,340.5,30.41,0.83
AFG,2020-02-03,38400.0,0.0001,1024.4,4.44,309.9,32.485,0.56
AFG,2020-02-04,38520.0,0.0001,1024.2,3.91,317.6,35.245000000000005,0.49
AFG,2020-02-05,38640.0,0.0,1025.3,5.22,310.6,37.085,0.49
AFG,2020-02-06,38700.0,0.0001,1025.7,3.89,292.8,39.69,0.37
AFG,2020-02-07,38820.0,0.0,1024.7,3.05,280.5,41.665,0.45
AFG,2020-02-08,38940.0,0.0001,1022.4,3.87,283.5,43.69,0.5
AFG,2020-02-09,39060.0,0.0229,1018.8,4.06,286.8,39.004999999999995,0.84
AFG,2020-02-10,39180.0,0.0509,1015.6,3.04,299.0,42.84,0.88
AFG,2020-02-11,39300.0,0.0536,1016.3,5.94,308.2,39.47,0.9
AFG,2020-02-12,39420.0,0.0076,1025.1,3.62,313.6,36.805,0.69
AFG,2020-02-13,39540.0,0.0001,1027.2,4.5,314.0,40.89,0.45
AFG,2020-02-14,39660.0,0.0001,1025.3,3.54,321.5,40.650000000000006,0.46
AFG,2020-02-15,39780.0,0.0001,1028.6,4.52,317.7,42.215,0.4
AFG,2020-02-16,39840.0,0.0001,1027.8,5.43,297.2,43.980000000000004,0.39
AFG,2020-02-17,39960.0,0.0002,1022.9,3.98,302.0,42.065,0.49
AFG,2020-02-18,40080.0,0.0001,1021.0,6.23,331.1,38.0,0.53
AFG,2020-02-19,40200.0,0.0001,1022.4,4.37,311.7,43.349999999999994,0.38
AFG,2020-02-20,40320.0,0.0005,1021.7,4.26,292.8,45.445,0.51
AFG,2020-02-21,40440.0,0.0001,1023.6,4.45,285.0,47.745000000000005,0.54
AFG,2020-02-22,40560.0,0.0003,1021.8,4.32,299.9,47.235,0.61
AFG,2020-02-23,40680.0,0.0001,1019.4,3.67,308.3,46.515,0.66
AFG,2020-02-24,40740.0,0.0001,1020.1,4.38,290.4,49.144999999999996,0.59
AFG,2020-02-25,40860.0,0.0001,1017.3,3.61,277.3,51.785,0.56
AFG,2020-02-26,40980.0,0.0128,1012.8,4.16,289.6,46.765,0.68
AFG,2020-02-27,41160.0,0.0014,1016.3,2.59,305.8,44.69,0.76
AFG,2020-02-28,41280.0,0.0,1017.6,3.26,296.8,48.224999999999994,0.69
AFG,2020-02-29,41340.0,0.0001,1018.6,3.45,295.7,50.285,0.58
AFG,2020-03-01,41460.0,0.0001,1017.2,3.79,282.6,53.9,0.44
AFG,2020-03-02,41580.0,0.0161,1013.6,4.43,286.8,47.03,0.62
AFG,2020-03-03,41760.0,0.0021,1011.2,4.56,313.6,47.7,0.67
AFG,2020-03-04,41880.0,0.0016,1013.3,3.15,339.6,42.41,0.74
AFG,2020-03-05,41940.0,0.0,1015.3,4.2,313.5,46.504999999999995,0.57
AFG,2020-03-06,42060.0,0.0,1016.5,3.17,317.3,42.485,0.52
AFG,2020-03-07,42240.0,0.0001,1020.1,4.74,342.8,44.760000000000005,0.49
AFG,2020-03-08,42360.0,0.0015,1018.5,2.89,328.9,42.379999999999995,0.65
AFG,2020-03-09,42420.0,0.001,1016.7,2.76,290.6,37.57,0.76
AFG,2020-03-10,42600.0,0.0004,1014.5,3.84,326.7,42.72,0.52
AFG,2020-03-11,42720.0,0.0002,1014.8,3.65,330.1,46.835,0.57
AFG,2020-03-12,42840.0,0.0001,1020.1,3.41,339.2,50.16,0.54
AFG,2020-03-13,42960.0,0.0,1020.0,4.57,318.1,53.88,0.41
AFG,2020-03-14,43080.0,0.0,1017.9,4.17,307.9,56.17999999999999,0.43
AFG,2020-03-15,43200.0,0.0002,1017.9,3.64,321.0,52.709999999999994,0.55
AFG,2020-03-16,43380.0,0.0012,1019.3,2.93,315.2,54.285,0.63
AFG,2020-03-17,43440.0,0.0019,1019.0,3.57,316.6,55.725,0.62
AFG,2020-03-18,43560.0,0.0012,1014.7,4.02,317.7,56.515,0.61
AFG,2020-03-19,43740.0,0.0176,1011.6,3.84,316.8,49.985,0.78
AFG,2020-03-20,43800.0,0.0003,1014.6,3.3,310.3,54.96,0.57
AFG,2020-03-21,43920.0,0.0048,1015.0,4.83,319.0,54.45,0.62
AFG,2020-03-22,44100.0,0.0555,1010.6,2.76,317.8,49.695,0.89
AFG,2020-03-23,44220.0,0.0233,1011.2,4.23,335.8,42.504999999999995,0.82
AFG,2020-03-24,44280.0,0.003,1014.6,4.0,348.6,47.075,0.67
AFG,2020-03-25,44460.0,0.0013,1016.0,3.78,345.0,50.81,0.65
AFG,2020-03-26,44580.0,0.0009,1015.4,3.69,350.2,51.535,0.63
AFG,2020-03-27,44640.0,0.001,1016.7,3.92,348.1,51.224999999999994,0.63
AFG,2020-03-28,44820.0,0.0106,1016.1,3.35,322.6,52.575,0.65
AFG,2020-03-29,44940.0,0.1105,1012.4,3.67,314.1,49.57,0.89
AFG,2020-03-30,45060.0,0.0195,1012.6,4.64,319.0,50.385000000000005,0.79
AFG,2020-03-31,45180.0,0.0009,1016.9,3.56,312.1,50.815,0.6
AFG,2020-04-01,45300.0,0.0001,1017.9,3.51,310.3,56.64999999999999,0.52
AFG,2020-04-02,45420.0,0.0001,1017.0,3.94,315.1,59.35,0.5
AFG,2020-04-03,45480.0,0.0115,1016.7,4.28,321.2,55.67,0.62
AFG,2020-04-04,45660.0,0.0001,1017.2,4.52,320.2,58.03,0.57
AFG,2020-04-05,45780.0,0.0112,1015.9,6.38,359.0,51.715,0.67
AFG,2020-04-06,45900.0,0.0,1016.8,3.87,332.1,57.305,0.52
AFG,2020-04-07,46020.0,0.0,1014.9,3.74,315.9,59.01,0.57
AFG,2020-04-08,46140.0,0.0125,1015.7,2.71,317.0,56.44,0.67
AFG,2020-04-09,46260.0,0.0007,1017.6,3.37,315.0,60.269999999999996,0.69
AFG,2020-04-10,46320.0,0.0018,1019.5,2.81,307.6,59.39,0.74
AFG,2020-04-11,46500.0,0.0038,1017.3,4.21,302.8,63.615,0.68
AFG,2020-04-12,46620.0,0.0076,1013.7,3.99,297.4,58.425,0.65
AFG,2020-04-13,46740.0,0.0265,1013.9,4.92,303.6,52.540000000000006,0.85
AFG,2020-04-14,46800.0,0.0002,1017.7,3.63,296.0,56.205,0.7
AFG,2020-04-15,46920.0,0.0017,1015.0,3.93,294.6,55.225,0.66
AFG,2020-04-16,47100.0,0.0055,1012.0,3.35,315.8,56.5,0.71
AFG,2020-04-17,47160.0,0.0014,1014.3,4.42,325.0,57.845,0.62
AFG,2020-04-18,47280.0,0.0002,1013.4,4.27,327.6,56.91,0.57
AFG,2020-04-19,47400.0,0.0001,1013.4,3.2,307.5,58.870000000000005,0.58
AFG,2020-04-20,47520.0,0.0001,1014.0,3.22,290.8,62.905,0.5
ALB,2019-12-31,33360.0,0.0001,1027.0,5.75,336.4,40.615,0.52
ALB,2020-01-01,33420.0,0.0001,1030.3,5.8,341.2,40.585,0.48
ALB,2020-01-02,33420.0,0.0001,1026.6,3.69,348.5,45.129999999999995,0.44
ALB,2020-01-03,33480.0,0.0005,1021.9,2.44,363.3,44.635000000000005,0.4
ALB,2020-01-04,33540.0,0.0019,1018.2,5.75,389.2,40.01,0.59
ALB,2020-01-05,33600.0,0.0,1022.3,7.43,386.8,36.879999999999995,0.46
ALB,2020-01-06,33660.0,0.0001,1024.7,5.7,374.1,39.06,0.37
ALB,2020-01-07,33720.0,0.0,1028.2,5.24,368.8,41.455,0.31
ALB,2020-01-08,33780.0,0.0,1028.4,3.4,336.9,43.400000000000006,0.4
ALB,2020-01-09,33900.0,0.0001,1025.0,2.42,321.7,46.495000000000005,0.42
ALB,2020-01-10,33960.0,0.0067,1024.3,2.76,334.5,47.025,0.64
ALB,2020-01-11,34020.0,0.0045,1026.1,5.19,338.6,43.19,0.79
ALB,2020-01-12,34080.0,0.0001,1027.4,3.31,339.2,48.019999999999996,0.73
ALB,2020-01-13,34200.0,0.0,1026.7,2.76,333.6,47.295,0.74
ALB,2020-01-14,34320.0,0.0,1027.4,4.1,354.3,48.185,0.65
ALB,2020-01-15,34440.0,0.0,1025.8,3.91,334.4,48.28,0.54
ALB,2020-01-16,34500.0,0.0001,1025.6,4.31,312.7,46.875,0.53
ALB,2020-01-17,34620.0,0.0,1024.0,3.21,326.2,47.135,0.62
ALB,2020-01-18,34680.0,0.0004,1023.6,3.37,365.0,44.745000000000005,0.74
ALB,2020-01-19,34800.0,0.0,1036.0,5.24,366.3,43.254999999999995,0.64
ALB,2020-01-20,34920.0,0.0001,1039.4,4.4,365.6,45.515,0.42
ALB,2020-01-21,35040.0,0.0,1032.9,2.72,341.5,43.93,0.42
ALB,2020-01-22,35160.0,0.0001,1029.1,4.29,364.6,46.480000000000004,0.39
ALB,2020-01-23,35220.0,0.0001,1031.2,3.24,319.4,48.015,0.49
ALB,2020-01-24,35340.0,0.0045,1027.7,2.24,287.5,49.86,0.79
ALB,2020-01-25,35520.0,0.0019,1023.1,2.5,284.4,50.635000000000005,0.81
ALB,2020-01-26,35640.0,0.0382,1017.8,3.15,339.6,47.68000000000001,0.88
ALB,2020-01-27,35700.0,0.0096,1017.5,3.15,345.7,49.655,0.86
ALB,2020-01-28,35820.0,0.0445,1012.7,4.22,370.8,46.485,0.88
ALB,2020-01-29,36000.0,0.0038,1019.2,2.72,337.7,44.120000000000005,0.82
ALB,2020-01-30,36120.0,0.0002,1022.6,2.49,303.6,48.95,0.69
ALB,2020-01-31,36240.0,0.0002,1021.2,2.03,294.5,51.345,0.79
ALB,2020-02-01,36360.0,0.0002,1021.0,2.41,310.2,51.519999999999996,0.79
ALB,2020-02-02,36540.0,0.0005,1019.5,2.36,314.5,52.295,0.82
ALB,2020-02-03,36660.0,0.0156,1008.5,4.08,322.3,48.655,0.81
ALB,2020-02-04,36780.0,0.0446,998.3,4.6,411.3,36.83,0.78
ALB,2020-02-05,36900.0,0.0,1016.1,5.26,389.8,34.695,0.67
ALB,2020-02-06,37080.0,0.0001,1024.1,3.63,356.0,38.725,0.59
ALB,2020-02-07,37200.0,0.0,1029.0,4.12,336.1,41.955,0.68
ALB,2020-02-08,37380.0,0.0001,1032.9,2.48,322.7,44.019999999999996,0.72
ALB,2020-02-09,37560.0,0.0038,1025.9,2.86,307.5,48.83,0.8
ALB,2020-02-10,37680.0,0.0091,1014.4,3.5,264.6,53.795,0.84
ALB,2020-02-11,37800.0,0.0099,1016.5,2.07,285.4,48.785,0.85
ALB,2020-02-12,37920.0,0.0001,1024.1,2.78,305.2,51.855000000000004,0.67
ALB,2020-02-13,38160.0,0.048,1017.7,3.67,359.7,44.83,0.77
ALB,2020-02-14,38280.0,0.0001,1023.0,5.59,337.6,48.37,0.69
ALB,2020-02-15,38400.0,0.0001,1029.8,3.92,333.8,50.475,0.61
ALB,2020-02-16,38580.0,0.0001,1027.0,3.0,303.2,50.225,0.59
ALB,2020-02-17,38700.0,0.0002,1021.8,2.53,307.3,51.78,0.63
ALB,2020-02-18,38880.0,0.0013,1018.5,3.09,332.3,51.955,0.74
ALB,2020-02-19,39060.0,0.0181,1016.5,2.96,352.1,43.959999999999994,0.78
ALB,2020-02-20,39180.0,0.0001,1022.7,3.64,329.6,46.0,0.62
ALB,2020-02-21,39360.0,0.0009,1027.6,4.44,355.0,44.655,0.56
ALB,2020-02-22,39540.0,0.0001,1027.2,2.74,324.9,49.21,0.5
ALB,2020-02-23,39720.0,0.0001,1020.5,2.83,312.7,55.2,0.56
ALB,2020-02-24,39840.0,0.0001,1016.1,3.67,313.0,55.69500000000001,0.6
ALB,2020-02-25,40020.0,0.0104,1007.1,5.06,341.6,51.22,0.72
ALB,2020-02-26,40140.0,0.0669,1008.7,7.54,381.8,40.955,0.85
ALB,2020-02-27,40320.0,0.0463,1013.2,3.54,351.7,39.195,0.84
ALB,2020-02-28,40500.0,0.0001,1021.0,2.96,301.0,42.835,0.64
ALB,2020-02-29,40680.0,0.0001,1018.4,2.42,325.5,50.935,0.61
ALB,2020-03-01,40800.0,0.0038,1012.4,3.74,336.1,56.75,0.78
ALB,2020-03-02,40980.0,0.0385,1007.1,4.34,346.1,54.115,0.75
ALB,2020-03-03,41100.0,0.0299,1006.9,2.86,384.2,45.465,0.88
